onset_queries_K,B_swap,hit_rate_pct
96.0,32,49.75
98.0,32,49.79
100.0,32,49.83
102.0,32,49.87
104.0,32,49.91
106.0,32,49.95
108.0,32,49.98
110.0,32,49.98
112.0,32,49.98
114.0,32,49.98
116.0,32,49.98
118.0,32,49.98
120.0,32,49.98
122.0,32,49.98
124.0,32,49.98
126.0,32,49.99
128.0,32,49.99
130.0,32,50.00
132.0,32,50.32
134.0,32,50.32
136.0,32,50.32
138.0,32,50.32
140.0,32,50.32
142.0,32,50.32
144.0,32,50.32
146.0,32,50.32
148.0,32,50.33
0.0,64,0.01
2.0,64,19.24
4.0,64,25.83
6.0,64,27.58
8.0,64,30.52
10.0,64,31.70
12.0,64,33.98
14.0,64,35.68
16.0,64,37.51
18.0,64,39.45
20.0,64,40.34
22.0,64,41.13
24.0,64,41.92
26.0,64,42.79
28.0,64,43.68
30.0,64,44.23
32.0,64,44.71
34.0,64,44.86
36.0,64,44.86
38.0,64,44.86
40.0,64,44.86
42.0,64,44.86
44.0,64,44.86
46.0,64,44.86
48.0,64,44.86
50.0,64,44.86
52.0,64,44.86
54.0,64,44.86
56.0,64,44.86
58.0,64,44.86
60.0,64,44.86
62.0,64,44.86
64.0,64,44.86
66.0,64,45.00
68.0,64,45.55
70.0,64,46.07
72.0,64,46.64
74.0,64,47.15
76.0,64,47.52
78.0,64,47.88
80.0,64,48.23
82.0,64,48.58
84.0,64,48.58
86.0,64,48.58
88.0,64,48.58
90.0,64,48.58
92.0,64,48.58
94.0,64,48.58
96.0,64,48.58
98.0,64,48.58
100.0,64,48.58
102.0,64,48.58
104.0,64,48.58
106.0,64,48.58
108.0,64,48.58
110.0,64,48.58
112.0,64,48.58
114.0,64,48.58
116.0,64,48.58
118.0,64,48.58
120.0,64,48.58
122.0,64,48.58
124.0,64,48.58
126.0,64,48.58
128.0,64,48.58
130.0,64,48.57
132.0,64,48.75
134.0,64,49.09
136.0,64,49.52
138.0,64,49.82
140.0,64,50.08
142.0,64,50.08
144.0,64,50.08
146.0,64,50.08
148.0,64,50.08
0.0,no_maint,0.01
2.0,no_maint,0.01
4.0,no_maint,0.01
6.0,no_maint,0.01
8.0,no_maint,0.01
10.0,no_maint,0.01
12.0,no_maint,0.01
14.0,no_maint,0.01
16.0,no_maint,0.01
18.0,no_maint,0.01
20.0,no_maint,0.01
22.0,no_maint,0.01
24.0,no_maint,0.01
26.0,no_maint,0.01
28.0,no_maint,0.01
30.0,no_maint,0.01
32.0,no_maint,0.01
34.0,no_maint,0.01
36.0,no_maint,0.01
38.0,no_maint,0.01
40.0,no_maint,0.01
42.0,no_maint,0.01
44.0,no_maint,0.01
46.0,no_maint,0.01
48.0,no_maint,0.01
50.0,no_maint,0.01
52.0,no_maint,0.01
54.0,no_maint,0.01
56.0,no_maint,0.01
58.0,no_maint,0.01
60.0,no_maint,0.01
62.0,no_maint,0.01
64.0,no_maint,0.01
66.0,no_maint,0.01
68.0,no_maint,0.01
70.0,no_maint,0.01
72.0,no_maint,0.01
74.0,no_maint,0.01
76.0,no_maint,0.01
78.0,no_maint,0.01
80.0,no_maint,0.01
82.0,no_maint,0.01
84.0,no_maint,0.01
86.0,no_maint,0.01
88.0,no_maint,0.01
90.0,no_maint,0.01
92.0,no_maint,0.01
94.0,no_maint,0.01
96.0,no_maint,0.01
98.0,no_maint,0.01
100.0,no_maint,0.01
102.0,no_maint,0.01
104.0,no_maint,0.01
106.0,no_maint,0.01
108.0,no_maint,0.01
110.0,no_maint,0.01
112.0,no_maint,0.01
114.0,no_maint,0.01
116.0,no_maint,0.01
118.0,no_maint,0.01
120.0,no_maint,0.01
122.0,no_maint,0.01
124.0,no_maint,0.01
126.0,no_maint,0.01
128.0,no_maint,0.01
130.0,no_maint,0.01
132.0,no_maint,0.01
134.0,no_maint,0.01
136.0,no_maint,0.01
138.0,no_maint,0.01
140.0,no_maint,0.01
142.0,no_maint,0.01
144.0,no_maint,0.01
146.0,no_maint,0.01
148.0,no_maint,0.01
