query_idx,backend,scenario,hit_pct
3800,DaAvl,no_maint,0.0
3900,DaAvl,no_maint,0.0
4000,DaAvl,no_maint,1.0
4100,DaAvl,no_maint,1.0
4200,DaAvl,no_maint,2.0
4300,DaAvl,no_maint,2.0
4400,DaAvl,no_maint,0.0
4500,DaAvl,no_maint,1.0
4600,DaAvl,no_maint,2.0
4700,DaAvl,no_maint,3.0
4800,DaAvl,no_maint,0.0
4900,DaAvl,no_maint,1.0
5000,DaAvl,no_maint,6.0
100,DaAvl,with_maint,73.0
200,DaAvl,with_maint,70.0
300,DaAvl,with_maint,70.0
400,DaAvl,with_maint,58.0
500,DaAvl,with_maint,76.0
600,DaAvl,with_maint,61.0
700,DaAvl,with_maint,61.0
800,DaAvl,with_maint,61.0
900,DaAvl,with_maint,67.0
1000,DaAvl,with_maint,62.0
1100,DaAvl,with_maint,58.0
1200,DaAvl,with_maint,60.0
1300,DaAvl,with_maint,57.0
1400,DaAvl,with_maint,59.0
1500,DaAvl,with_maint,61.0
1600,DaAvl,with_maint,50.0
1700,DaAvl,with_maint,53.0
1800,DaAvl,with_maint,57.0
1900,DaAvl,with_maint,46.0
2000,DaAvl,with_maint,52.0
2100,DaAvl,with_maint,0.0
2200,DaAvl,with_maint,0.0
2300,DaAvl,with_maint,3.0
2400,DaAvl,with_maint,1.0
2500,DaAvl,with_maint,3.0
2600,DaAvl,with_maint,1.0
2700,DaAvl,with_maint,1.0
2800,DaAvl,with_maint,0.0
2900,DaAvl,with_maint,2.0
3000,DaAvl,with_maint,2.0
3100,DaAvl,with_maint,1.0
3200,DaAvl,with_maint,0.0
3300,DaAvl,with_maint,3.0
3400,DaAvl,with_maint,2.0
3500,DaAvl,with_maint,0.0
3600,DaAvl,with_maint,0.0
3700,DaAvl,with_maint,1.0
3800,DaAvl,with_maint,3.0
3900,DaAvl,with_maint,15.0
4000,DaAvl,with_maint,16.0
4100,DaAvl,with_maint,18.0
4200,DaAvl,with_maint,25.0
4300,DaAvl,with_maint,26.0
4400,DaAvl,with_maint,31.0
4500,DaAvl,with_maint,21.0
4600,DaAvl,with_maint,22.0
4700,DaAvl,with_maint,31.0
4800,DaAvl,with_maint,39.0
4900,DaAvl,with_maint,32.0
5000,DaAvl,with_maint,27.0
100,DaBplus,no_maint,73.0
200,DaBplus,no_maint,70.0
300,DaBplus,no_maint,74.0
400,DaBplus,no_maint,61.0
500,DaBplus,no_maint,78.0
600,DaBplus,no_maint,70.0
700,DaBplus,no_maint,65.0
800,DaBplus,no_maint,71.0
900,DaBplus,no_maint,78.0
1000,DaBplus,no_maint,71.0
1100,DaBplus,no_maint,67.0
1200,DaBplus,no_maint,70.0
1300,DaBplus,no_maint,65.0
1400,DaBplus,no_maint,68.0
1500,DaBplus,no_maint,72.0
1600,DaBplus,no_maint,71.0
1700,DaBplus,no_maint,75.0
1800,DaBplus,no_maint,68.0
1900,DaBplus,no_maint,65.0
2000,DaBplus,no_maint,73.0
2100,DaBplus,no_maint,2.0
2200,DaBplus,no_maint,1.0
2300,DaBplus,no_maint,3.0
2400,DaBplus,no_maint,1.0
2500,DaBplus,no_maint,3.0
2600,DaBplus,no_maint,3.0
2700,DaBplus,no_maint,1.0
2800,DaBplus,no_maint,0.0
2900,DaBplus,no_maint,3.0
3000,DaBplus,no_maint,2.0
3100,DaBplus,no_maint,1.0
3200,DaBplus,no_maint,0.0
3300,DaBplus,no_maint,3.0
3400,DaBplus,no_maint,3.0
3500,DaBplus,no_maint,2.0
3600,DaBplus,no_maint,1.0
3700,DaBplus,no_maint,2.0
3800,DaBplus,no_maint,0.0
3900,DaBplus,no_maint,0.0
4000,DaBplus,no_maint,1.0
4100,DaBplus,no_maint,1.0
4200,DaBplus,no_maint,2.0
4300,DaBplus,no_maint,2.0
4400,DaBplus,no_maint,0.0
4500,DaBplus,no_maint,1.0
4600,DaBplus,no_maint,2.0
4700,DaBplus,no_maint,3.0
4800,DaBplus,no_maint,0.0
4900,DaBplus,no_maint,1.0
5000,DaBplus,no_maint,6.0
100,DaBplus,with_maint,73.0
200,DaBplus,with_maint,70.0
300,DaBplus,with_maint,74.0
400,DaBplus,with_maint,57.0
500,DaBplus,with_maint,78.0
600,DaBplus,with_maint,69.0
700,DaBplus,with_maint,62.0
800,DaBplus,with_maint,67.0
900,DaBplus,with_maint,76.0
1000,DaBplus,with_maint,69.0
1100,DaBplus,with_maint,66.0
1200,DaBplus,with_maint,68.0
1300,DaBplus,with_maint,64.0
1400,DaBplus,with_maint,65.0
1500,DaBplus,with_maint,71.0
1600,DaBplus,with_maint,69.0
1700,DaBplus,with_maint,72.0
1800,DaBplus,with_maint,66.0
1900,DaBplus,with_maint,63.0
2000,DaBplus,with_maint,72.0
2100,DaBplus,with_maint,2.0
2200,DaBplus,with_maint,3.0
2300,DaBplus,with_maint,9.0
2400,DaBplus,with_maint,10.0
2500,DaBplus,with_maint,23.0
2600,DaBplus,with_maint,22.0
2700,DaBplus,with_maint,31.0
2800,DaBplus,with_maint,26.0
2900,DaBplus,with_maint,27.0
3000,DaBplus,with_maint,23.0
3100,DaBplus,with_maint,30.0
3200,DaBplus,with_maint,24.0
3300,DaBplus,with_maint,26.0
3400,DaBplus,with_maint,27.0
3500,DaBplus,with_maint,32.0
3600,DaBplus,with_maint,20.0
3700,DaBplus,with_maint,26.0
3800,DaBplus,with_maint,34.0
3900,DaBplus,with_maint,32.0
4000,DaBplus,with_maint,23.0
4100,DaBplus,with_maint,26.0
4200,DaBplus,with_maint,33.0
4300,DaBplus,with_maint,29.0
4400,DaBplus,with_maint,32.0
4500,DaBplus,with_maint,26.0
4600,DaBplus,with_maint,24.0
4700,DaBplus,with_maint,41.0
4800,DaBplus,with_maint,44.0
4900,DaBplus,with_maint,37.0
5000,DaBplus,with_maint,36.0
